name,variables,expression
I.6.2,2,exp(-(x1/x2)**2/2)/(sqrt(2*pi)*x2)
I.6.2b,3,exp(-((x1-x2)/x3)**2/2)/(sqrt(2*pi)*x3)
I.8.14,4,sqrt((x2-x1)**2+(x3-x4)**2)
I.9.18,9,x1*x2*x3/((x4-x5)**2+(x6-x7)**2+(x8-x9)**2)
I.10.7,3,x1/sqrt(1-x2**2/x3**2)
I.11.19,6,x1*x2+x3*x4+x5*x6
I.12.1,2,x1*x2
I.12.2,4,x1*x2*x3/(4*pi*x4*x3**3)
I.12.4,3,x1*x2/(4*pi*x3*x2**3)
I.12.5,2,x1*x2
I.12.11,5,x1*(x2+x3*x4*sin(x5))
I.13.4,4,1/2*x1*(x2**2+x3**2+x4**2)
I.13.12,5,x1*x2*x3*(1/x4-1/x5)
I.14.3,3,x1*x2*x3
I.14.4,2,1/2*x1*x2**2
I.15.3x,4,(x1-x2*x3)/sqrt(1-x2**2/x4**2)
I.15.3t,4,(x1-x2*x3/x4**2)/sqrt(1-x2**2/x4**2)
I.15.1,3,x1*x2/sqrt(1-x2**2/x3**2)
I.16.6,3,(x1+x2)/(1+x1*x2/x3**2)
I.18.4,4,(x1*x2+x3*x4)/(x1+x3)
I.18.12,3,x1*x2*sin(x3)
I.18.14,3,x1**x2*sin(x3)
I.24.6,4,0.5*x1*(x2**2+x3**2)*0.5*x4**2
I.25.13,2,x1/x2
I.26.2,2,arcsin(x1*sin(x2))
I.27.6,3,1/(1/x1+x2/x3)
I.29.4,2,x1/x2
I.29.16,4,sqrt(x1**2+x2**2-2*x1*x2*cos(x3-x4))
I.30.3,3,x1*sin(x2*x3/2)**2/sin(x3/2)**2
I.30.5,3,arcsin(x1/(x2*x3))
I.32.5,4,x1**2*x2**2/(6*pi*x3*x4**3)
I.32.17,6,(1/2*x1*x2*x3**2)*(8*pi*x4**2/3)*(x5**4/(x5**2-x6**2)**2)
I.34.8,4,x1*x2*x3/x4
I.34.1,3,x1/(1-x2/x3)
I.34.14,3,(1+x1/x2)/sqrt(1-x1**2/x2**2)*x3
I.34.27,2,(x1/(2*pi))*x2
I.37.4,3,x1+x2+2*sqrt(x1*x2)*cos(x3)
I.38.12,4,4*pi*x1*(x2/(2*pi))**2/(x3*x4**2)
I.39.1,2,1.5*x1*x2
I.39.11,3,1/(x1-1)*x2*x3
I.39.22,4,x1*x2*x3/x4
I.40.1,6,x1*exp(-x2*x3*x4/(x5*x6))
I.41.16,5,x1/(2*pi)*x2**3/(pi**2*x3**2*(exp((x1/(2*pi))*x2/(x4*x5))-1))
I.43.16,4,x1*x2*x3/x4
I.43.31,3,x1*x2*x3
I.43.43,4,1/(x1-1)*x2*x3/x4
I.44.4,5,x1*x2*log(x3/x4)
I.47.23,3,sqrt(x1*x2/x3)
I.48.2,4,x1*x2**2/sqrt(1-x3**2/x4**2)
I.50.26,4,x1*(cos(x2*x3)+x4*cos(x2*x3))
II.2.42,5,x1*(x2-x3)*x4/x5
II.3.24,2,x1/(4*pi*x2**2)
II.4.23,3,x1/(4*pi*x2*x3)
II.6.11,5,x1/(4*pi*x2)*x3**2*cos(x4)/x5**2
II.6.15a,7,x3/(4*pi*x2)*x4**3*x1/x5**5*sqrt(x6**2+x7**2)
II.6.15b,6,x3/(4*pi*x2)*x4**3*cos(x5)*sin(x5)/x6**3
II.8.7,3,3/5*x1**2/(4*pi*x2*x3)
II.8.31,2,x1*x2**2/2
II.10.9,4,x1/x2/x3/(1+x4)
II.11.3,5,x1*x2/(x3*(x4**2-x5**2))
II.11.17,6,x1*(1+x2*x3*cos(x4)/(x5*x6))
II.11.20,6,x1*x2*x3**2*x4/(3*x5*x6)
II.11.27,4,x1*x2/(1-(x1*x2/3))
II.11.28,2,1+x1*x2/(1-(x1*x2/3))
II.13.17,4,1/(4*pi*x1*x2**2)*x3**2/x4
II.13.23,4,x1/x2/sqrt(1-x3**2/x4**2)
II.13.34,5,x1*x2/x3/sqrt(1-x4**2/x5**2)
II.21.32,5,x1/(4*pi*x2*x3*(1-x4/x5))
II.24.17,3,sqrt(x1**2/x2**2-pi**2/x3**2)
II.27.16,3,x1*x2*x3**2
II.27.18,2,x1*x2**2
II.34.2a,3,x1*x2/(2*pi*x3)
II.34.2,3,x1*x2/2
II.34.11,4,x1*x2*x3/(2*x4)
II.34.29a,3,x1*x2/(4*pi*x3)
II.34.29b,5,x1*x2*x3*x4/(h/(2*pi))
II.35.18,5,x1/(exp(x2*x3/(x4*x5))+exp(-x2*x3/(x4*x5)))
II.35.21,6,x1*x2*(exp(x3*x4/(x5*x6))-exp(-x3*x4/(x5*x6)))/(exp(x3*x4/(x5*x6))+exp(-x3*x4/(x5*x6)))
II.36.38,9,x1*x2/(x3*x4)+(x1*x5)/(x6*x7**2*x8*x9)
II.37.1,6,x1*(1+x2)*x3
II.38.3,4,x1*x2*x3/x4
II.38.14,2,x1/(2*(1+x2))
III.4.32,6,1/(exp(x3/(2*pi))*x4/(x5*x6)-1)
III.4.33,6,(h/(2*pi))*x1/(exp(x3/(2*pi))*x4/(x5*x6)-1)
III.7.38,3,2*x1*x2/(h/(2*pi))
III.8.54,3,sin(x1*x2/(h/(2*pi)))**2
III.9.52,8,(x3*x4*x5/(h/(2*pi)))*sin((x6-x7)*x8/2)**2/((x6-x7)*x8/2)**2
III.10.19,4,x1*sqrt(x2**2+x3**2+x4**2)
III.12.43,2,x1*(h/(2*pi))
III.13.18,4,2*x1*x2**2*x3/(h/(2*pi))
III.14.14,5,x1*exp(x2*x3/(x4*x5)-1)
III.15.12,3,2*x1*(1-cos(x2*x3))
III.15.14,3,(h/(2*pi))**2/(2*x1*x2**2)
III.15.27,3,2*pi*x1/(x2*x3)
III.17.37,3,x1*(1+x2*cos(x3))
III.19.51,5,-x1*x2**4/(2*(4*pi*x3)**2*(x4/(2*pi))**2)*(1/x5**2)
